Id,x_resampled
0,-175102.066223948
1,-1419.7163463349982
2,-4384.312618394095
3,-27.298087699349047
4,-1903.2942864398353
5,-115.13575935813037
6,-68.33945929856446
7,-24.761864775813557
8,-25.581275490042707
9,-291.9392162585367
10,-24.159049435694836
11,-15.734315956028267
12,260.6577784486883
13,-12.412712624137116
14,-21.16576955631248
15,-175102.07919443987
16,-1419.7401056198103
17,-4387.561675896978
18,-26.429636840856308
19,-1904.2371403073607
20,-115.1365162544861
21,-68.30961481439383
22,-24.75798997340399
23,-25.609693371419425
24,-292.88836253174475
25,-24.18276650107649
26,-15.727460200687124
27,260.10471928398323
28,-12.434954317211286
29,-22.85544818012916
30,-175102.0905802844
31,-1419.7467667871329
32,-4383.988379470665
33,-27.438495229612844
34,-1906.1675001170129
35,-115.1202249176995
36,-68.35439647817999
37,-24.841210197468165
38,-25.615036553057063
39,-291.3413933793612
40,-24.176603663417325
41,-15.771126006608267
42,258.9245665131291
43,-12.46692508808252
44,-22.127043143196985
45,-175102.04830694254
46,-1419.7195909217105
47,-4383.984236862382
48,-27.372770530683034
49,-1905.8980613558206
50,-115.12609755730001
51,-68.34557078062039
52,-24.83805303792267
53,-25.619893248300144
54,-290.8896547335385
55,-24.158637045751064
56,-15.802259602570695
57,257.2921682138014
58,-12.381306460630643
59,-23.09704533056689
60,-175102.0889394024
61,-1419.7419545993
62,-4387.709943578171
63,-26.533788605357646
64,-1906.1250961857063
65,-115.1216783361581
66,-68.34484036869765
67,-24.798245028267853
68,-25.614472092557154
69,-291.75733679564286
70,-24.18846647641054
71,-15.781007890279618
72,258.89821424781564
73,-12.386575915161444
74,-22.811279201976678
75,-175102.0962041684
76,-1419.7510435484278
77,-4387.750516127982
78,-26.464469913555774
79,-1907.1407499663842
80,-115.14160216697103
81,-68.3249214134251
82,-24.770609665418977
83,-25.570850885075632
84,-292.27438373347246
85,-24.200027071905097
86,-15.744610721520077
87,259.39208777972874
88,-12.413826227614823
89,-23.430993967165758
90,-175102.09775977433
91,-1419.746932422377
92,-4383.973344437599
93,-27.39150217042542
94,-1906.4716054288924
95,-115.15398403568472
96,-68.3500920740565
97,-24.772192788469965
98,-25.61228627241861
99,-292.1127495197377
100,-24.181635052920765
101,-15.768704645149228
102,259.1792727795675
103,-12.47607118758317
104,-21.659173315863054
105,-175102.10314981447
106,-1416.052717318182
107,-4388.246227602778
108,-26.37948229018177
109,-1905.2212104204411
110,-115.14973638903737
111,-68.35403003981389
112,-24.799640263817267
113,-25.612002718768537
114,-291.96095448553234
115,-24.198920842145824
116,-15.747578663426697
117,258.90397220061766
118,-12.372724697758532
119,-22.479976636120927
120,-175102.10226733392
121,-1419.7464048231748
122,-4383.953253383027
123,-27.407255330289512
124,-1906.6941515640362
125,-115.12185675802708
126,-68.33411084465851
127,-24.751806710696073
128,-25.617253242607738
129,-292.18424133315057
130,-24.18315738313632
131,-15.772473661662493
132,257.9002370588905
133,-12.41440533322779
134,-23.2512835938323
135,-175102.09675296515
136,-1419.7408683563815
137,-4384.300007491559
138,-27.343737972270166
139,-1903.586516364697
140,-115.10847590292612
141,-68.32714485222286
142,-24.74859467110677
143,-25.591457632814308
144,-292.2085017520296
145,-24.161378021329245
146,-15.728047115213268
147,259.63919478079146
148,-12.407973138878436
149,-21.621024324971057
150,-175102.08532877552
151,-1419.7507802421364
152,-4387.325050578223
